 Bwd IAT Max, Bwd URG Flags, Total Backward Packets, Fwd IAT Max, Active Max, URG Flag Count, Bwd Packet Length Mean, act_data_pkt_fwd, Bwd Packet Length Std, PSH Flag Count, ACK Flag Count, Avg Fwd Segment Size,Flow Bytes/s, Fwd Avg Bulk Rate,Active Mean,Bwd Packet Length Max,Init_Win_bytes_forward,Idle Mean
0,0,0,45.127742999999995,45.33141,0,0,0,0,0,2,0.0,22.665705,2.294214982503302,22.7675385,0,0,22.563871499999998
0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0,0,0.0
0,0,0,0.12978800000000001,0.204761,0,0,13,0,0,0,184.92307692307693,0.015750846153846153,23481.033985964124,0.09127576923076923,0,0,0.013113692307692307
0.044198,0,15,0,0.207903,0,370.8,0,429.12611976744864,0,0,184.92307692307693,0.0138602,0,0.14117633333333332,1238.0,0,0.0034277333333333337
0,0,0,45.557662,46.491506,0,0,5,0,5,11,118.08333333333333,3.8742921666666668,69.38901914685233,4.3209350833333335,0,64900,3.873700916666667
0,0,0,0.30918200000000007,46.37877,0,0,2,0,2,6,83.0,6.625538571428572,30.056855755338056,7.006582714285715,0,64900,0.11944585714285715
0,0,1,0.206449,46.696859,0,40.0,11,0.0,10,18,733.0,2.5942699444444446,545.3471720656843,3.3177746666666668,40.0,0,0.011549833333333334
0,0,1,45.747336,46.5849,0,40.0,3,0.0,3,7,73.66666666666667,6.654985714285714,23.097613175084632,7.231731142857143,40.0,0,6.535333714285714
0,0,0,0.120802,0.120802,0,0,1,0,1,2,19.5,0.060401,1175.4772271982251,0.060401,0,0,0.060401
0,0,0,0,0.077844,0,0,1,0,1,2,19.5,0.038922,1824.1611427984174,0.077844,0,0,0.0
0,0,0,8.4e-05,8.4e-05,0,0,2,0,0,0,36.0,4.2e-05,2190476.1904761908,4.2e-05,0,0,4.2e-05
0.013928999999999997,0,2,0,0.06293,0,78.0,0,6.0,0,0,36.0,0.031465,0,0.0559655,84.0,0,0.0069644999999999985
0,0,0,0.435399,0.542409,0,0,1,0,1,5,12.333333333333334,0.09040150000000001,641.5822746303988,0.2678486666666667,0,64900,0.09028100000000001
0,0,1,0.37687200000000004,0.542319,0,40.0,1,0.0,1,4,257.6666666666667,0.13557975,3027.7382868754366,0.29522024999999996,40.0,0,0.09421800000000001
0,0,0,0,0,0,0,0,0,0,0,257.6666666666667,0,0,0.29522024999999996,0,0,0
0,0,0,0,0,0,0,0,0,0,0,257.6666666666667,0,0,0.29522024999999996,0,0,0
0,0,0,0,0,0,0,1,0,0,0,54.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,54.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,51.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,51.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,40.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,40.0,0.0,0,0.0,0,0,0.0
0,0,0,0,0,0,0,1,0,0,0,54.0,0.0,0,0.0,0,0,0.0
0,0,0,0.066998,0.204229,0,0,3,0,3,6,87.0,0.02269211111111111,9881.064883047951,0.12072922222222221,0,64240,0.021802666666666668
0,0,1,0,0.007347,0,40.0,0,0.0,0,0,87.0,0.007347,0,0.007347,40.0,0,0.0
0,0,1,0,0.051176,0,56.0,0,0.0,0,0,87.0,0.051176,0,0.051176,56.0,0,0.0
0,0,1,0,0.053702,0,153.0,0,0.0,0,0,87.0,0.053702,0,0.053702,153.0,0,0.0
0,0,1,0,0.054105,0,87.0,0,0.0,0,0,87.0,0.054105,0,0.054105,87.0,0,0.0
0,0,1,0,0.055246,0,104.0,0,0.0,0,0,87.0,0.055246,0,0.055246,104.0,0,0.0
0,0,1,0,0.053599,0,104.0,0,0.0,0,0,87.0,0.053599,0,0.053599,104.0,0,0.0
0,0,1,0,0.056206,0,136.0,0,0.0,0,0,87.0,0.056206,0,0.056206,136.0,0,0.0
0,0,1,1.000000000001e-06,0.204058,0,60.0,2,0.0,2,7,90.16666666666667,0.029151142857142855,6831.391075086495,0.1638534285714286,60.0,0,2.8571428571457146e-07
0,0,0,0.053982,0.053982,0,0,0,0,0,0,0.0,0.026991,1852.469341632396,0.026991,0,64240,0.026991
0,0,1,0,0.053899,0,60.0,0,0.0,0,1,0.0,0.053899,0,0.053899,60.0,0,0.0
0,0,0,0.067197,0.206928,0,0,1,0,1,3,64.625,0.025866,6813.964277429831,0.12397862500000001,0,64240,0.021520875000000002
0,0,1,1.000000000001e-06,0.206849,0,60.0,3,0.0,2,6,801.6,0.034474833333333336,40009.86226667762,0.1564615,60.0,0,1.6666666666683336e-07
